,store_id,n_cust,mae_ncust,percentage_error
117,118,572.4152892561983,82.56,0.14423094831600186
118,119,613.1239669421487,79.9,0.13031622364802933
119,120,540.6363636363636,84.04,0.15544644358500084
120,121,466.75206611570246,155.81,0.33381748322325905
121,122,739.3202479338843,198.54,0.26854397746422193
122,123,887.0537190082645,228.18,0.2572335757242613
123,124,498.0,141.93,0.28500000000000003
124,125,1492.7210743801652,254.41,0.17043371622902875
125,126,509.0805785123967,127.09,0.24964613729986404
126,127,830.9626168224299,105.49,0.12694915254237288
127,128,742.5392561983471,121.25,0.16329103005378573
128,129,978.8878504672897,224.96,0.22981182154075291
129,130,403.68801652892563,148.86,0.36875010875962844
130,131,699.7272727272727,178.92,0.25569962322982975
131,132,214.55607476635515,85.7,0.39942938037678316
132,133,988.5888429752066,192.93,0.1951569667925522
133,134,466.7107438016529,169.04,0.3621943618076215
134,135,684.4152892561983,196.82,0.28757393806017684
135,136,306.1799065420561,201.91,0.6594488916021214
136,137,769.5327102803739,231.38,0.30067597765363124
137,138,905.6838842975206,246.99,0.27271104662701806
138,139,253.18691588785046,256.51,1.0131250230703923
139,140,346.81404958677683,58.55,0.16882245707681492
140,141,761.654958677686,114.05,0.14973971967306945
141,142,529.444214876033,122.39,0.23116694178754427
142,143,732.9690082644628,155.12,0.21163241317296067
143,144,609.3808411214953,67.48,0.11073534881045953
144,145,1509.7172897196263,382.04,0.25305400064070915
145,146,527.8677685950413,53.42,0.1011995866733467
146,147,1101.659090909091,149.63,0.13582241660305736
147,148,606.547520661157,62.02,0.10225085073696474
148,149,454.93457943925233,175.39,0.3855279592423682
149,150,761.9214876033058,159.6,0.20947040160533667
150,151,816.2933884297521,185.65,0.2274304834896706
151,152,576.3719008264463,73.28,0.12714013277698913
152,153,584.0743801652893,98.9,0.1693277489281621
153,154,923.5909090909091,109.17,0.1182016831536985
154,155,620.1285046728972,86.74,0.1398742346890718
155,156,905.6260330578513,211.0,0.2329880019985262
156,157,546.2458677685951,62.9,0.11514961249399544
