,store_id,revenue,mae_rev,percentage_error
61,62,8158.626033057852,1091.64,0.13380194110831842
62,63,8750.42561983471,1332.42,0.15226916471123247
63,64,12926.859504132231,1860.59,0.14393209730524564
64,65,6418.923553719008,1937.7,0.3018730451895368
65,66,5718.584710743801,930.86,0.16277803811337185
66,67,7256.774793388429,1711.27,0.23581688128989753
67,68,9480.894628099173,1822.61,0.19224029709160637
68,69,11912.320247933885,2444.61,0.2052169475903741
69,70,6104.219008264463,693.9,0.11367547577512098
70,71,6572.888429752066,1315.31,0.20011141434354368
71,72,4107.044392523365,1991.11,0.4848036226792921
72,73,5715.204545454545,2194.16,0.38391626800917805
73,74,5213.376033057852,895.01,0.17167570386727718
74,75,7700.489669421488,1786.84,0.2320423864855648
75,76,7428.565420560748,2016.34,0.2714306041404958
76,77,9541.710743801654,1723.85,0.18066466761422442
77,78,3077.1673553719006,1587.21,0.5158023001996175
78,79,6821.971074380165,1234.48,0.18095649872161956
79,80,7068.952479338843,1493.52,0.2112788287041489
80,81,8689.530373831776,1467.71,0.16890556069864932
81,82,11286.400826446281,1722.74,0.1526385626818496
82,83,4899.940082644628,1567.87,0.3199773820813292
83,84,10853.076446280991,2158.86,0.19891687031650584
84,85,11461.198347107438,3802.02,0.3317297096563684
85,86,4360.030991735537,1637.47,0.3755638441799688
86,87,7490.398760330579,1469.75,0.19621785795755614
87,88,5073.855371900827,1030.76,0.2031512379537623
88,89,5459.7990654205605,720.62,0.13198654224548678
89,90,7139.667355371901,1433.29,0.20075024908850822
90,91,6976.035123966943,2234.4,0.32029655245333716
91,92,2154.935950413223,573.54,0.2661517619073643
92,93,3974.9256198347107,1181.49,0.29723575055201407
93,94,8905.489669421488,939.44,0.10548998818399924
94,95,2775.3264462809916,582.85,0.2100113306602306
95,96,4302.376033057852,1588.84,0.3692936153864624
96,97,8411.601239669422,1189.18,0.1413737962745765
97,98,6445.239669421488,2192.36,0.3401518193964666
98,99,3688.61214953271,1519.73,0.4120059085617137
99,100,6531.165887850468,1105.47,0.1692607444034516
100,101,6241.826446280992,910.45,0.14586275472982188
101,102,5930.3140495867765,954.38,0.16093245518194793
102,103,4455.456611570248,1863.42,0.41823322780451677
103,104,9495.44214876033,1817.14,0.1913697089121053
104,105,3103.706611570248,1978.54,0.6374764910524207
105,106,10867.712809917355,1837.83,0.16910917983799537
106,107,2642.9504132231405,406.32,0.1537372770851509
107,108,14016.420560747663,2773.9,0.19790359371551525
108,109,5914.929752066116,873.15,0.1476179830698757
109,110,5839.256198347108,1944.22,0.33295679003609086
110,111,5794.586776859504,616.47,0.10638722375542863
111,112,7707.896694214876,1321.19,0.17140733100271216
112,113,8701.904205607476,1878.41,0.21586194878927298
113,114,3978.6074380165287,1194.63,0.30026335058468695
114,115,6276.6355140186915,941.45,0.14999277843954736
115,116,9214.004132231405,1528.78,0.16591917889988694
116,117,4838.138429752066,1913.97,0.3956005037454215
117,118,6579.130165289256,1048.44,0.1593584522056503
118,119,5504.925619834711,786.72,0.14291201268285653
119,120,6028.911157024793,965.26,0.16010519559162753
120,121,4086.5,1937.33,0.4740805089930258
121,122,5927.599173553719,1475.0,0.24883598853660457
122,123,7669.423553719008,2233.74,0.29125265860650357
123,124,4200.198347107438,1759.2,0.4188373630525123
124,125,11194.935950413223,1844.8,0.1647887945202496
125,126,5887.597107438017,865.18,0.14694959322318207
126,127,6621.705607476635,1543.26,0.23306079905719299
127,128,9213.299586776859,1559.44,0.1692596648260678
128,129,7693.046728971963,2137.04,0.27778851153365824
129,130,3619.6838842975208,1375.4,0.37997793287049064
130,131,6564.842975206611,1843.82,0.2808627726456733
131,132,2318.5630841121497,510.15,0.220028518307645
132,133,8394.929752066115,1183.02,0.14092077419812138
133,134,4459.254132231405,1553.29,0.3483295533153962
134,135,7526.452479338843,1439.68,0.19128267984845737
135,136,3949.3808411214955,1133.69,0.28705512220950286
136,137,6665.17523364486,1589.67,0.2385038568791967
137,138,9171.123966942148,2392.66,0.26089059624801525
138,139,3198.8808411214955,1760.1,0.5502236836627296
139,140,2691.6776859504134,328.97,0.12221745631622417
140,141,6887.146694214876,1513.63,0.2197760650679086
141,142,4289.69214876033,1623.96,0.37857262099083383
142,143,7874.1177685950415,1101.12,0.13984042814189074
143,144,6386.0373831775705,860.22,0.13470325154469592
144,145,9870.628504672897,1784.05,0.18074330313975498
145,146,5841.688016528926,852.61,0.14595267627910957
146,147,10295.043388429753,1308.88,0.12713690954144066
147,148,6399.745867768595,1080.6,0.16885045474106827
148,149,5191.098130841122,1027.49,0.19793307198250057
149,150,7788.859504132231,2038.79,0.261757192939269
150,151,8408.911157024793,1838.66,0.21865613343577617
151,152,5138.264462809917,936.75,0.18230863879819215
